PLAYER_NAME,POSITION
A.J. Green,SG
A.J. Lawson,SG
AJ Griffin,SF
Aaron Gordon,PF
Aaron Holiday,PG
Aaron Nesmith,SF
Aaron Wiggins,SG
Adam Flagler,SG
Adama Sanogo,PF
Admiral Schofield,PF
Al Horford,C
Alec Burks,SG
Aleksandar Vezenkov,PF
Aleksej Pokusevski,PF
Alex Caruso,SG
Alex Fudge,SF
Alex Len,C
Alondes Williams,SG
Alperen Sengun,C
Amari Bailey,PG
Amen Thompson,SF
Amir Coffey,SF
Andre Drummond,C
Andre Jackson,SG
Andrew Nembhard,PG
Andrew Wiggins,SF
Anfernee Simons,SG
Anthony Black,PG
Anthony Davis,C
Anthony Edwards,SG
Anthony Gill,PF
Armoni Brooks,PG
Ashton Hagans,PG
Ausar Thompson,SF
Austin Reaves,SG
Ayo Dosunmu,SG
Bam Adebayo,C
Ben Sheppard,SG
Ben Simmons,PG
Bennedict Mathurin,SF
Bilal Coulibaly,SF
Bismack Biyombo,C
Blake Wesley,SG
Boban Marjanovic,C
Bobby Portis,PF
Bogdan Bogdanovic,SG
Bojan Bogdanovic,PF
Bol Bol,PF
Bones Hyland,PG
Bradley Beal,SG
Brandin Podziemski,SG
Brandon Boston,SF
Brandon Ingram,SF
Brandon Miller,SF
Brandon Williams,PG
Braxton Key,SF
Brice Sensabaugh,SF
Brook Lopez,C
Bruce Brown,SG
Bruno Fernando,C
Bryce McGowens,SG
Buddy Hield,SF
CJ McCollum,PG
Cade Cunningham,PG
Caleb Houstan,SF
Caleb Martin,SF
Cam Reddish,SF
Cam Thomas,SG
Cam Whitmore,SF
Cameron Johnson,PF
Cameron Payne,PG
Caris LeVert,SG
Cason Wallace,SG
Cedi Osman,SF
Charles Bassey,C
Charlie Brown,SG
Chet Holmgren,C
Chimezie Metu,C
Chris Boucher,PF
Chris Duarte,SF
Chris Livingston,SF
Chris Paul,PG
Christian Braun,SG
Christian Wood,PF
Chuma Okeke,SF
Clint Capela,C
Coby White,PG
Cody Martin,SF
Cody Zeller,C
Colby Jones,SG
Cole Anthony,PG
Cole Swider,SF
Colin Castleton,C
Collin Gillespie,PG
Collin Sexton,SG
Corey Kispert,SF
Cory Joseph,PG
Craig Porter,PG
D.J. Carton,SG
D'Angelo Russell,PG
D'Moi Hodge,SG
DaQuan Jeffries,SG
Dariq Miller-Whitehead,SF
Daishen Nix,PG
Dalano Banton,PG
Dalen Terry,SG
Damian Jones,C
Damian Lillard,PG
Daniel Gafford,C
Daniel Theis,C
Danilo Gallinari,PF
Danny Green,SG
Dante Exum,PG
Danuel House,SF
Dario Saric,C
Dariq Whitehead,SF
Darius Bazley,PF
Darius Garland,PG
David Roddy,PF
Davion Mitchell,PG
Davis Bertans,PF
Day'Ron Sharpe,C
De'Aaron Fox,PG
De'Andre Hunter,SF
De'Anthony Melton,SG
DeAndre Jordan,C
DeMar DeRozan,SF
Dean Wade,PF
Deandre Ayton,C
DeJon Jarreau,SG
Dejounte Murray,SG
Delon Wright,PG
Deni Avdija,SF
Dennis Schroder,PG
Dennis Smith,PG
Dereck Lively II,C
Dereon Seabron,SG
Derrick Jones Jr.,SF
Derrick Rose,PG
Derrick White,SG
Desmond Bane,SG
Devin Booker,PG
Devin Vassell,SG
Devonte' Graham,PG
Dexter Dennis,SG
Dillon Brooks,SF
Dmytro Skapintsev,C
Domantas Sabonis,C
Dominick Barlow,PF
Donovan Mitchell,SG
Donte DiVincenzo,SG
Dorian Finney-Smith,PF
Doug McDermott,SF
Draymond Green,PF
Drew Eubanks,C
Drew Peterson,PF
Dru Smith,SG
Duncan Robinson,SF
Duop Reath,C
Dwight Powell,C
Dylan Windler,SF
Dyson Daniels,PG
E.J. Liddell,PF
Emoni Bates,SF
Eric Gordon,SG
Eugene Omoruyi,SF
Evan Fournier,SG
Evan Mobley,PF
Filip Petrusev,C
Frank Ntilikina,PG
Franz Wagner,SF
Fred VanVleet,PG
Furkan Korkmaz,SG
GG Jackson,PF
Gabe Vincent,PG
Garrett Temple,SG
Garrison Mathews,SG
Gary Harris,SG
Gary Payton,SG
Gary Trent Jr.,SG
Georges Niang,PF
Giannis Antetokounmpo,PF
Goga Bitadze,C
Gordon Hayward,SF
Gradey Dick,SG
Grant Williams,PF
Grayson Allen,SG
Greg Brown,PF
Gregory Jackson,PF
Gui Santos,PF
Hamidou Diallo,SG
Harrison Barnes,PF
Harry Giles,C
Haywood Highsmith,PF
Herbert Jones,SF
Hunter Tyson,PF
Ibou Badji,C
Immanuel Quickley,SG
Isaac Okoro,SF
Isaiah Hartenstein,C
Isaiah Jackson,C
Isaiah Joe,SG
Isaiah Livers,PF
Isaiah Mobley,PF
Isaiah Stewart,PF
Isaiah Wong,SG
Ish Smith,PG
Ish Wainright,SF
Ivica Zubac,C
Izaiah Brockington,PG
JD Davison,SG
JT Thor,PF
Ja Morant,PG
JaVale McGee,C
Jabari Smith Jr.,PF
Jabari Walker,SF
Jacob Gilyard,PG
Jacob Toppin,SF
Jaden Hardy,SG
Jaden Ivey,SG
Jaden McDaniels,SF
Jaden Springer,SG
Jae Crowder,PF
Jae'Sean Tate,SF
Jahmi'us Ramsey,SG
Jaime Jaquez Jr.,SF
Jake LaRavia,PF
Jakob Poeltl,C
Jalen Crutcher,PG
Jalen Brunson,PG
Jalen Duren,C
Jalen Green,SG
Jalen Hood-Schifino,SG
Jalen Johnson,SF
Jalen McDaniels,SF
Jalen Pickett,SG
Jalen Slawson,SF
Jalen Smith,C
Jalen Suggs,SG
Jalen Williams,PF
Jalen Wilson,PF
Jamal Cain,PF
Jamal Murray,PG
Jamaree Bouyea,PG
James Bouknight,SG
James Harden,PG
James Johnson,PF
James Wiseman,C
Jarace Walker,PF
Jared Butler,SG
Jared Rhoden,SG
Jaren Jackson Jr.,C
Jarred Vanderbilt,PF
Jarrett Allen,C
Jason Preston,PG
Javon Freeman-Liberty,PG
Javonte Smart,PG
Jaxson Hayes,C
Jay Huff,C
Jaylen Brown,SF
Jaylen Nowell,SG
Jaylin Williams,C
Jayson Tatum,PF
Jeenathan Williams,SG
Jeff Dowtin,PG
Jeff Green,PF
Jerami Grant,PF
Jeremiah Robinson-Earl,PF
Jeremy Sochan,PF
Jericho Sims,C
Jermaine Samuels,SF
Jerome Robinson,SG
Jett Howard,SF
Jevon Carter,PG
Jimmy Butler,PF
Jock Landale,C
Joe Harris,SG
Joe Ingles,SF
Joel Embiid,C
John Collins,PF
John Konchar,SF
Johnny Davis,SG
Johnny Juzang,SG
Jonas Valanciunas,C
Jonathan Isaac,PF
Jonathan Kuminga,PF
Jontay Porter,PF
Jordan Clarkson,SG
Jordan Ford,PG
Jordan Goodwin,PG
Jordan Hawkins,SG
Jordan McLaughlin,PG
Jordan Miller,SF
Jordan Nwora,SF
Jordan Poole,SG
Jordan Walsh,SF
Jose Alvarado,PG
Josh Giddey,SG
Josh Green,SG
Josh Hart,SF
Josh Minott,SF
Josh Okogie,SG
Josh Richardson,SG
Joshua Primo,SG
Jrue Holiday,PG
Juan Toscano-Anderson,SF
Jules Bernard,SG
Julian Champagnie,SF
Julian Phillips,SF
Julian Strawther,SF
Julius Randle,PF
Justin Champagnie,SF
Justin Holiday,SG
Justin Jackson,SF
Justin Minaya,SF
Jusuf Nurkic,C
KJ Martin,SF
Kaiser Gates,SF
Karl-Anthony Towns,PF
Kawhi Leonard,SF
Keegan Murray,SF
Keita Bates-Diop,SF
Keldon Johnson,SF
Kelly Olynyk,C
Kelly Oubre Jr.,SF
Kendall Brown,SG
Kenneth Lofton,PF
Kenrich Williams,PF
Kentavious Caldwell-Pope,SG
Keon Ellis,SG
Keon Johnson,SG
Kessler Edwards,SF
Kevin Durant,PF
Kevin Huerter,SG
Kevin Knox,SF
Kevin Love,PF
Kevon Harris,SG
Kevon Looney,C
Keyontae Johnson,SF
Keyonte George,PG
Khris Middleton,SF
Killian Hayes,PG
Kira Lewis,PG
Klay Thompson,SF
Kobe Brown,PF
Kobe Bufkin,SG
Kris Dunn,PG
Kris Murray,SF
Kristaps Porzingis,C
Kyle Anderson,PF
Kyle Kuzma,PF
Kyle Lowry,PG
Kyrie Irving,SG
LaMelo Ball,PG
Lamar Stevens,PF
Landry Shamet,SG
Larry Nance,C
Lauri Markkanen,PF
LeBron James,PF
Leaky Black,SF
Leonard Miller,SF
Lester Quinones,SG
Lindell Wigginton,PG
Lindy Waters,SG
Lonnie Walker,SG
Luguentz Dort,SF
Luka Doncic,PG
Luka Garza,C
Luka Samanic,PF
Luke Kennard,SG
Luke Kornet,C
Malachi Flynn,PG
Malaki Branham,PG
Malcolm Brogdon,PG
Malcolm Cazalon,SG
Malik Beasley,SG
Malik Monk,SG
Mamadi Diakite,PF
MarJon Beauchamp,SF
Marcus Morris,PF
Marcus Sasser,PG
Marcus Smart,PG
Mark Williams,C
Markelle Fultz,PG
Markieff Morris,PF
Markquis Nowell,SG
Marques Bolden,C
Marvin Bagley III,C
Mason Jones,SG
Mason Plumlee,C
Matisse Thybulle,SF
Matt Ryan,SF
Matthew Hurt,PF
Max Christie,SG
Max Strus,SF
Maxi Kleber,C
Maxwell Lewis,SF
Micah Potter,PF
Michael Porter Jr.,SF
Mikal Bridges,SF
Mike Conley,PG
Mike Muscala,C
Miles Bridges,SF
Miles McBride,PG
Mitchell Robinson,C
Mo Bamba,C
Mohamed Bamba,C
Monte Morris,PG
Moritz Wagner,C
Moses Brown,C
Moses Moody,SG
Mouhamadou Gueye,PF
Mouhamed Gueye,PF
Moussa Diabate,C
Myles Turner,C
Naji Marshall,SF
Nassir Little,SF
Nate Hinton,SG
Nathan Mensah,C
Naz Reid,C
Neemias Queta,C
Nic Claxton,C
Nick Richards,C
Nick Smith,SG
Nickeil Alexander-Walker,SG
Nicolas Batum,PF
Nikola Jokic,C
Nikola Jovic,PF
Nikola Vucevic,C
Noah Clowney,PF
Norman Powell,SG
OG Anunoby,SF
Obi Toppin,PF
Ochai Agbaji,SG
Olivier Sarr,C
Olivier-Maxence Prosper,PF
Omer Yurtseven,C
Onuralp Bitim,SG
Onyeka Okongwu,C
Orlando Robinson,C
Oscar Tshiebwe,PF
Oshae Brissett,SF
Otto Porter,SF
Ousmane Dieng,PF
P.J. Tucker,PF
P.J. Washington,PF
Paolo Banchero,PF
Pascal Siakam,PF
Pat Connaughton,SF
Pat Spencer,PG
Patrick Baldwin,SF
Patrick Beverley,PG
Patrick Williams,PF
Patty Mills,PG
Paul George,PF
Paul Reed,C
Payton Pritchard,PG
Pete Nance,PF
Peyton Watson,SF
Precious Achiuwa,C
Quentin Grimes,SG
R.J. Hampton,PG
RJ Barrett,SG
Rayan Rupert,SG
Reggie Bullock,SF
Reggie Jackson,PG
Richaun Holmes,C
Ricky Council,SG
Robert Covington,PF
Robert Williams,C
Robin Lopez,C
Ron Harper,PF
Royce O'Neale,SF
Rudy Gobert,C
Rui Hachimura,PF
Russell Westbrook,PG
Ryan Arcidiacono,PG
Ryan Rollins,PG
Saben Lee,PG
Saddiq Bey,SF
Sam Hauser,SF
Sam Merrill,SG
Sandro Mamukelashvili,C
Santi Aldama,PF
Sasha Vezenkov,PF
Scoot Henderson,PG
Scottie Barnes,SG
Scotty Pippen,PG
Seth Curry,SG
Seth Lundy,SF
Shaedon Sharpe,SG
Shai Gilgeous-Alexander,PG
Shake Milton,SG
Shaquille Harrison,SG
Sidy Cissoko,SF
Simone Fontecchio,SF
Skylar Mays,PG
Spencer Dinwiddie,PG
Stanley Umude,SG
Stephen Curry,PG
Svi Mykhailiuk,SF
T.J. McConnell,PG
T.J. Warren,SF
Taj Gibson,PF
Talen Horton-Tucker,PG
Tari Eason,PF
Taurean Prince,PF
Taylor Hendricks,PF
Taze Moore,SG
Terance Mann,SG
Terquavion Smith,PG
Terry Rozier,SG
Terry Taylor,PF
Thaddeus Young,PF
Thanasis Antetokounmpo,PF
Theo Maledon,PG
Thomas Bryant,C
Tim Hardaway Jr.,SF
Tobias Harris,PF
Torrey Craig,SF
Tosan Evbuomwan,SF
Toumani Camara,PF
Trae Young,PG
Trayce Jackson-Davis,PF
Tre Jones,PG
Tre Mann,PG
Trendon Watford,PF
Trent Forrest,SG
Trevelin Queen,SG
Trey Jemison,C
Trey Lyles,PF
Trey Murphy III,SF
Tristan Thompson,PF
Troy Brown,SF
Ty Jerome,SG
TyTy Washington,PG
Tyler Herro,SG
Tyrese Haliburton,PG
Tyrese Maxey,PG
Tyus Jones,PG
Udoka Azubuike,C
Usman Garuba,PF
Vasilije Micic,PG
Victor Wembanyama,C
Vince Williams Jr.,SG
Vit Krejci,PG
Walker Kessler,C
Wendell Carter Jr.,C
Wendell Moore,SG
Wenyen Gabriel,PF
Wesley Matthews,SG
Xavier Moon,SG
Xavier Tillman,C
Yuta Watanabe,SF
Zach Collins,C
Zach LaVine,SG
Zeke Nnaji,PF
Ziaire Williams,SF
Zion Williamson,PF